#Label,X/Longitude,Y/Latitude,Z/Altitude
20250513_134432.jpg,129.092745,35.258763,141.608526
20250513_134433.jpg,129.092744,35.258763,141.608366
20250513_134510.jpg,129.092777,35.258775,141.773026
20250513_134512.jpg,129.092775,35.258773,141.795383
20250513_134514.jpg,129.092779,35.258775,141.816493
20250513_134518.jpg,129.092785,35.25878,141.730853
20250513_134525.jpg,129.092795,35.258785,141.720086
20250513_134529.jpg,129.092796,35.258785,141.79764
20250513_134530.jpg,129.092795,35.258784,141.783266
20250513_134536.jpg,129.092807,35.258788,141.731561
20250513_134537.jpg,129.092804,35.258787,141.724771
20250513_134539.jpg,129.092805,35.258788,141.571709
20250513_134544.jpg,129.092819,35.258791,141.607618
20250513_134545.jpg,129.092816,35.258791,141.587741
20250513_134547.jpg,129.092816,35.258792,141.509914
20250513_134552.jpg,129.092825,35.258785,141.7502
20250513_134554.jpg,129.092822,35.258787,141.763628
20250513_134555.jpg,129.092824,35.258788,141.54102
20250513_134557.jpg,129.092825,35.25879,141.72352
20250513_134601.jpg,129.092831,35.258778,141.69405
20250513_134602.jpg,129.092829,35.258777,141.701983
20250513_134603.jpg,129.092826,35.258778,141.733525
20250513_134605.jpg,129.092825,35.258781,141.704351
20250513_134606.jpg,129.092826,35.258783,141.482189
20250513_134607.jpg,129.092828,35.258781,141.475898
20250513_134609.jpg,129.092829,35.25878,141.551129
20250513_134610.jpg,129.09283,35.258778,141.68356
20250513_134613.jpg,129.092836,35.25877,141.691173
20250513_134615.jpg,129.092833,35.25877,141.734486
20250513_134616.jpg,129.092834,35.258771,141.53761
20250513_134617.jpg,129.09283,35.258773,141.668768
20250513_134618.jpg,129.092831,35.258775,141.547361
20250513_134619.jpg,129.092832,35.258775,141.431155
20250513_134623.jpg,129.092841,35.258762,141.674582
20250513_134624.jpg,129.092838,35.258762,141.716858
20250513_134626.jpg,129.092836,35.258765,141.625356
20250513_134627.jpg,129.092836,35.258767,141.559456
20250513_134628.jpg,129.092836,35.258769,141.541514
20250513_134630.jpg,129.092837,35.258767,141.435858
20250513_134631.jpg,129.092839,35.258765,141.435207
20250513_134632.jpg,129.09284,35.258763,141.579403
20250513_134635.jpg,129.092844,35.258762,141.51482
20250513_134639.jpg,129.092849,35.258755,141.71771
20250513_134640.jpg,129.09285,35.258756,141.451803
20250513_134641.jpg,129.092847,35.258755,141.390568
20250513_134642.jpg,129.092847,35.258754,141.668884
20250513_134643.jpg,129.092844,35.258754,141.687847
20250513_134645.jpg,129.092844,35.258755,141.381171
20250513_134646.jpg,129.092842,35.258758,141.384474
20250513_134647.jpg,129.092841,35.258758,141.621612
20250513_134648.jpg,129.092841,35.258761,141.650229
20250513_134649.jpg,129.092842,35.258761,141.490202
